r1,r2,r3,a1,b1,a2,b2,a3,b3
8,11,29,20416,20033,28072,27545,74008,72617
8,11,31,21824,10993,30008,15115,84568,42595
8,13,17,14144,7057,22984,11467,30056,14995
8,13,19,15808,14017,25688,22777,37544,33289
8,13,23,19136,33,31096,53,55016,93
8,13,29,24128,305,39208,495,87464,1103
8,13,31,25792,18721,41912,30421,99944,72541
8,17,19,20672,11233,43928,23869,49096,26677
8,17,23,25024,20801,53176,44201,71944,59801
8,17,29,31552,30673,67048,65179,114376,111187
8,17,31,33728,12033,71672,25569,130696,46625
8,19,23,27968,20081,66424,47691,80408,57731
8,19,29,35264,14785,83752,35113,127832,53593
8,19,31,37696,22641,89528,53771,146072,87731
8,23,29,42688,9697,122728,27877,154744,35149
8,23,31,45632,41169,131192,118359,176824,159527
8,29,31,57536,45729,208568,165765,222952,177197
10,11,13,14300,9521,15730,10473,18590,12377
10,11,17,18700,761,20570,837,31790,1293
10,11,19,20900,3901,22990,4291,39710,7411
10,11,23,25300,11221,27830,12343,58190,25807
10,11,29,31900,31501,35090,34651,92510,91351
10,11,31,34100,22181,37510,24399,105710,68759
10,13,17,22100,16501,28730,21451,37570,28051
10,13,19,24700,21041,32110,27353,46930,39977
10,13,23,29900,16561,38870,21529,68770,38089
10,13,29,37700,1041,49010,1353,109330,3017
10,13,31,40300,12621,52390,16407,124930,39123
10,17,19,32300,24781,54910,42127,61370,47083
10,17,23,39100,34701,66470,58991,89930,79811
10,17,29,49300,33781,83810,57427,142970,97963
10,17,31,52700,38361,89590,65213,163370,118917
10,19,23,43700,14941,83030,28387,100510,34363
10,19,29,55100,19721,104690,37469,159790,57189
10,19,31,58900,41701,111910,79231,182590,129271
10,23,29,66700,51641,153410,118773,193430,149757
10,23,31,71300,69821,163990,160587,221030,216443
10,29,31,89900,43901,260710,127311,278690,136091
11,12,13,18876,9241,20592,10081,22308,10921
11,12,17,24684,11705,26928,12769,38148,18089
11,12,19,27588,5479,30096,5977,47652,9463
11,12,23,33396,32891,36432,35881,69828,68771
11,12,29,42108,37049,45936,40417,111012,97673
11,12,31,45012,40591,49104,44281,126852,114391
11,13,14,22022,2069,26026,2445,28028,2633
11,13,16,25168,13993,29744,16537,36608,20353
11,13,17,26741,3543,31603,4187,41327,5475
11,13,18,28314,25015,33462,29563,46332,40933
11,13,19,29887,100,35321,118,51623,172
11,13,20,31460,25653,37180,30317,57200,46641
